ID;event_ID;taskName;description;dueDate;status;priority;responsiblePerson_ID
550e8400-e29b-41d4-a716-446655440030;550e8400-e29b-41d4-a716-446655440001;Book venue;Reserve conference center for 150 people;2026-02-15;Open;High;550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655440031;550e8400-e29b-41d4-a716-446655440001;Send invitations;Create and send invitation emails;2026-02-28;Open;High;550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655440032;550e8400-e29b-41d4-a716-446655440001;Arrange catering;Finalize menu and catering service;2026-03-01;Open;Medium;550e8400-e29b-41d4-a716-446655440010
550e8400-e29b-41d4-a716-446655440033;550e8400-e29b-41d4-a716-446655440001;Prepare demo stations;Set up product demonstration areas;2026-03-10;Open;High;550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655440034;550e8400-e29b-41d4-a716-446655440001;Brief speakers;Conduct speaker briefing session;2026-03-12;Open;Medium;550e8400-e29b-41d4-a716-446655440011
550e8400-e29b-41d4-a716-446655440035;550e8400-e29b-41d4-a716-446655440002;Venue confirmed;Training center reservation completed;2026-03-20;Done;High;550e8400-e29b-41d4-a716-446655440014
550e8400-e29b-41d4-a716-446655440036;550e8400-e29b-41d4-a716-446655440002;Prepare training materials;Create workshop handouts and slides;2026-04-01;In Progress;High;550e8400-e29b-41d4-a716-446655440014
550e8400-e29b-41d4-a716-446655440037;550e8400-e29b-41d4-a716-446655440002;Order equipment;AV equipment and laptops;2026-04-05;In Progress;Medium;550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655440038;550e8400-e29b-41d4-a716-446655440002;Coordinate logistics;Transportation and accommodation;2026-04-08;Open;Low;550e8400-e29b-41d4-a716-446655440012
550e8400-e29b-41d4-a716-446655440039;550e8400-e29b-41d4-a716-446655440005;Follow-up emails;Send thank you notes to attendees;2026-07-15;Done;Low;550e8400-e29b-41d4-a716-446655440015
